"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\Utilizador\pairly-landing\ADMIN_TESTING_GUIDE.md", "Markdown", 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 58, 300
"c:\Users\Utilizador\pairly-landing\AUTHENTICATION_SETUP.md", "Markdown", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 27, 110
"c:\Users\Utilizador\pairly-landing\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\Utilizador\pairly-landing\components.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Utilizador\pairly-landing\eslint.config.mjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Utilizador\pairly-landing\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 3, 8
"c:\Users\Utilizador\pairly-landing\package-lock.json", "JSON", 0, 0, 0, 7698, 0, 0, 0, 0, 0, 0, 1, 7699
"c:\Users\Utilizador\pairly-landing\package.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Utilizador\pairly-landing\postcss.config.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Utilizador\pairly-landing\prisma\client.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Utilizador\pairly-landing\prisma\client.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 4
"c:\Users\Utilizador\pairly-landing\prisma\default.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Utilizador\pairly-landing\prisma\default.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 4
"c:\Users\Utilizador\pairly-landing\prisma\edge.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Utilizador\pairly-landing\prisma\edge.js", "JavaScript", 0, 0, 200, 0, 0, 0, 0, 0, 0, 21, 34, 255
"c:\Users\Utilizador\pairly-landing\prisma\index-browser.js", "JavaScript", 0, 0, 188, 0, 0, 0, 0, 0, 0, 21, 33, 242
"c:\Users\Utilizador\pairly-landing\prisma\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 7069, 0, 0, 0, 4363, 1024, 12456
"c:\Users\Utilizador\pairly-landing\prisma\index.js", "JavaScript", 0, 0, 214, 0, 0, 0, 0, 0, 0, 23, 39, 276
"c:\Users\Utilizador\pairly-landing\prisma\migrations\20250801141316_init\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 75, 18, 24, 117
"c:\Users\Utilizador\pairly-landing\prisma\migrations\20250804152400_add_queue_system\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 63, 13, 17, 93
"c:\Users\Utilizador\pairly-landing\prisma\package.json", "JSON", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 150
"c:\Users\Utilizador\pairly-landing\prisma\runtime\edge-esm.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 7, 35
"c:\Users\Utilizador\pairly-landing\prisma\runtime\edge.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 2, 7, 35
"c:\Users\Utilizador\pairly-landing\prisma\runtime\index-browser.d.ts", "TypeScript", 0, 0, 0, 0, 0, 264, 0, 0, 0, 20, 87, 371
"c:\Users\Utilizador\pairly-landing\prisma\runtime\index-browser.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 14, 2, 17
"c:\Users\Utilizador\pairly-landing\prisma\runtime\library.d.ts", "TypeScript", 0, 0, 0, 0, 0, 2375, 0, 0, 0, 853, 460, 3688
"c:\Users\Utilizador\pairly-landing\prisma\runtime\library.js", "JavaScript", 0, 0, 116, 0, 0, 0, 0, 0, 0, 2, 29, 147
"c:\Users\Utilizador\pairly-landing\prisma\runtime\react-native.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 2, 15, 84
"c:\Users\Utilizador\pairly-landing\prisma\runtime\wasm-compiler-edge.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 2, 16, 84
"c:\Users\Utilizador\pairly-landing\prisma\runtime\wasm-engine-edge.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 7, 36
"c:\Users\Utilizador\pairly-landing\prisma\seed.ts", "TypeScript", 0, 0, 0, 0, 0, 159, 0, 0, 0, 5, 12, 176
"c:\Users\Utilizador\pairly-landing\prisma\wasm.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Utilizador\pairly-landing\prisma\wasm.js", "JavaScript", 0, 0, 188, 0, 0, 0, 0, 0, 0, 21, 33, 242
"c:\Users\Utilizador\pairly-landing\public\file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Utilizador\pairly-landing\public\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Utilizador\pairly-landing\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Utilizador\pairly-landing\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Utilizador\pairly-landing\public\window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Utilizador\pairly-landing\src\app\api\admin\orders\route.ts", "TypeScript", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 16, 153
"c:\Users\Utilizador\pairly-landing\src\app\api\admin\teammates\route.ts", "TypeScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 17, 141
"c:\Users\Utilizador\pairly-landing\src\app\api\admin\users\route.ts", "TypeScript", 0, 0, 0, 0, 0, 204, 0, 0, 0, 1, 29, 234
"c:\Users\Utilizador\pairly-landing\src\app\api\auth\login\route.ts", "TypeScript", 0, 0, 0, 0, 0, 89, 0, 0, 0, 8, 14, 111
"c:\Users\Utilizador\pairly-landing\src\app\api\auth\logout\route.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 8, 51
"c:\Users\Utilizador\pairly-landing\src\app\api\auth\me\route.ts", "TypeScript", 0, 0, 0, 0, 0, 53, 0, 0, 0, 3, 7, 63
"c:\Users\Utilizador\pairly-landing\src\app\api\auth\profile\route.ts", "TypeScript", 0, 0, 0, 0, 0, 163, 0, 0, 0, 6, 19, 188
"c:\Users\Utilizador\pairly-landing\src\app\api\auth\register\route.ts", "TypeScript", 0, 0, 0, 0, 0, 71, 0, 0, 0, 4, 9, 84
"c:\Users\Utilizador\pairly-landing\src\app\api\chat\route.ts", "TypeScript", 0, 0, 0, 0, 0, 105, 0, 0, 0, 6, 21, 132
"c:\Users\Utilizador\pairly-landing\src\app\api\orders\direct\route.ts", "TypeScript", 0, 0, 0, 0, 0, 102, 0, 0, 0, 7, 17, 126
"c:\Users\Utilizador\pairly-landing\src\app\api\queue\route.ts", "TypeScript", 0, 0, 0, 0, 0, 212, 0, 0, 0, 14, 28, 254
"c:\Users\Utilizador\pairly-landing\src\app\api\sessions\route.ts", "TypeScript", 0, 0, 0, 0, 0, 125, 0, 0, 0, 6, 20, 151
"c:\Users\Utilizador\pairly-landing\src\app\api\sessions\teammate\route.ts", "TypeScript", 0, 0, 0, 0, 0, 47, 0, 0, 0, 3, 7, 57
"c:\Users\Utilizador\pairly-landing\src\app\api\teammates\accept-order\route.ts", "TypeScript", 0, 0, 0, 0, 0, 87, 0, 0, 0, 5, 17, 109
"c:\Users\Utilizador\pairly-landing\src\app\api\teammates\incoming-orders\route.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 4, 9, 72
