Date : 2025-08-11 20:24:58
Directory : c:\Users\Utilizador\pairly-landing
Total : 110 files,  30168 codes, 5858 comments, 3149 blanks, all 39175 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         48 |     13,303 |      5,442 |      2,109 |     20,854 |
| JSON               |          4 |      7,912 |          0 |          2 |      7,914 |
| TypeScript JSX     |         31 |      7,177 |        269 |        660 |      8,106 |
| JavaScript         |         15 |      1,137 |        116 |        231 |      1,484 |
| Markdown           |          3 |        348 |          0 |         99 |        447 |
| MS SQL             |          2 |        138 |         31 |         41 |        210 |
| PostCSS            |          1 |        117 |          0 |          6 |        123 |
| JSON with Comments |          1 |         31 |          0 |          1 |         32 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        110 |     30,168 |      5,858 |      3,149 |     39,175 |
| . (Files)                                                                                          |         10 |      8,161 |          1 |        112 |      8,274 |
| prisma                                                                                             |         24 |     11,280 |      5,388 |      1,848 |     18,516 |
| prisma (Files)                                                                                     |         13 |      8,174 |      4,458 |      1,177 |     13,809 |
| prisma\migrations                                                                                  |          2 |        138 |         31 |         41 |        210 |
| prisma\migrations\20250801141316_init                                                              |          1 |         75 |         18 |         24 |        117 |
| prisma\migrations\20250804152400_add_queue_system                                                  |          1 |         63 |         13 |         17 |         93 |
| prisma\runtime                                                                                     |          9 |      2,968 |        899 |        630 |      4,497 |
| public                                                                                             |          5 |          5 |          0 |          0 |          5 |
| src                                                                                                |         71 |     10,722 |        469 |      1,189 |     12,380 |
| src\app                                                                                            |         42 |      7,242 |        350 |        815 |      8,407 |
| src\app (Files)                                                                                    |          3 |        248 |          9 |         16 |        273 |
| src\app\api                                                                                        |         27 |      2,608 |        147 |        399 |      3,154 |
| src\app\api\admin                                                                                  |          3 |        465 |          1 |         62 |        528 |
| src\app\api\admin\orders                                                                           |          1 |        137 |          0 |         16 |        153 |
| src\app\api\admin\teammates                                                                        |          1 |        124 |          0 |         17 |        141 |
| src\app\api\admin\users                                                                            |          1 |        204 |          1 |         29 |        234 |
| src\app\api\auth                                                                                   |          5 |        414 |         26 |         57 |        497 |
| src\app\api\auth\login                                                                             |          1 |         89 |          8 |         14 |        111 |
| src\app\api\auth\logout                                                                            |          1 |         38 |          5 |          8 |         51 |
| src\app\api\auth\me                                                                                |          1 |         53 |          3 |          7 |         63 |
| src\app\api\auth\profile                                                                           |          1 |        163 |          6 |         19 |        188 |
| src\app\api\auth\register                                                                          |          1 |         71 |          4 |          9 |         84 |
| src\app\api\chat                                                                                   |          1 |        105 |          6 |         21 |        132 |
| src\app\api\orders                                                                                 |          1 |        102 |          7 |         17 |        126 |
| src\app\api\orders\direct                                                                          |          1 |        102 |          7 |         17 |        126 |
| src\app\api\queue                                                                                  |          1 |        212 |         14 |         28 |        254 |
| src\app\api\sessions                                                                               |          2 |        172 |          9 |         27 |        208 |
| src\app\api\sessions (Files)                                                                       |          1 |        125 |          6 |         20 |        151 |
| src\app\api\sessions\teammate                                                                      |          1 |         47 |          3 |          7 |         57 |
| src\app\api\teammates                                                                              |          9 |        693 |         55 |        116 |        864 |
| src\app\api\teammates\accept-order                                                                 |          1 |         87 |          5 |         17 |        109 |
| src\app\api\teammates\incoming-orders                                                              |          1 |         59 |          4 |          9 |         72 |
| src\app\api\teammates\notifications                                                                |          1 |        124 |          7 |         20 |        151 |
| src\app\api\teammates\order-history                                                                |          1 |         77 |          5 |         10 |         92 |
| src\app\api\teammates\quests                                                                       |          1 |        119 |          9 |         11 |        139 |
| src\app\api\teammates\reject-order                                                                 |          1 |         43 |          5 |         13 |         61 |
| src\app\api\teammates\request-payout                                                               |          1 |         72 |          7 |         13 |         92 |
| src\app\api\teammates\stats                                                                        |          1 |         70 |         10 |         13 |         93 |
| src\app\api\teammates\toggle-online                                                                |          1 |         42 |          3 |         10 |         55 |
| src\app\api\users                                                                                  |          5 |        445 |         29 |         71 |        545 |
| src\app\api\users (Files)                                                                          |          1 |         32 |          1 |          3 |         36 |
| src\app\api\users\become-teammate                                                                  |          1 |         47 |          9 |         10 |         66 |
| src\app\api\users\blocks                                                                           |          1 |        133 |          7 |         24 |        164 |
| src\app\api\users\favourites                                                                       |          1 |        146 |          8 |         25 |        179 |
| src\app\api\users\match-history                                                                    |          1 |         87 |          4 |          9 |        100 |
| src\app\become-teammate                                                                            |          1 |        278 |          3 |         24 |        305 |
| src\app\coaching                                                                                   |          1 |        147 |          3 |         11 |        161 |
| src\app\dashboard                                                                                  |          2 |        940 |         32 |         86 |      1,058 |
| src\app\dashboard (Files)                                                                          |          1 |        644 |         20 |         55 |        719 |
| src\app\dashboard\teammate                                                                         |          1 |        296 |         12 |         31 |        339 |
| src\app\duo                                                                                        |          1 |        505 |         31 |         47 |        583 |
| src\app\login                                                                                      |          1 |        154 |         12 |         15 |        181 |
| src\app\profile                                                                                    |          4 |      1,613 |         77 |        146 |      1,836 |
| src\app\profile (Files)                                                                            |          1 |         33 |          3 |          5 |         41 |
| src\app\profile\administrator                                                                      |          1 |        418 |         19 |         41 |        478 |
| src\app\profile\customer                                                                           |          1 |        675 |         28 |         57 |        760 |
| src\app\profile\teammate                                                                           |          1 |        487 |         27 |         43 |        557 |
| src\app\register                                                                                   |          1 |        364 |         18 |         28 |        410 |
